Common Question Text (group),Common Question ID,Year ID,RowHeaderID,Network or School,Group By,Color Coding,Color Coding (group),Response Text,% of Total Count of Respondents,Count of Respondents,Show N's,% of Total Distinct count of Respondent ID
I am happy to be at this school.,12,2015-16,A22_A34:A23,Ralph J Bunche High School,All Students,,,Did not answer,10%,4,4,10%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Rudsdale Continuation,All Students,551E,551E,Strongly Agree,9.708737864%,10,10,9.708737864%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Rudsdale Continuation,All Students,541D,541D,Agree,37.864077670%,39,39,37.864077670%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Rudsdale Continuation,All Students,530C,530C,Neither Disagree Nor Agree,32.038834951%,33,33,32.038834951%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Rudsdale Continuation,All Students,520B,520B,Disagree,8.737864078%,9,9,8.737864078%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Rudsdale Continuation,All Students,510A,510A,Strongly Disagree,6.796116505%,7,7,6.796116505%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Rudsdale Continuation,All Students,,,Did not answer,4.854368932%,5,5,4.854368932%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Skyline High School,All Students,551E,551E,Strongly Agree,9.227683049%,92,92,9.227683049%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Skyline High School,All Students,541D,541D,Agree,35.506519559%,354,354,35.506519559%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Skyline High School,All Students,530C,530C,Neither Disagree Nor Agree,34.603811434%,345,345,34.603811434%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Skyline High School,All Students,520B,520B,Disagree,10.230692076%,102,102,10.230692076%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Skyline High School,All Students,510A,510A,Strongly Disagree,7.422266800%,74,74,7.422266800%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Skyline High School,All Students,,,Did not answer,3.009027081%,30,30,3.009027081%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Street Academy,All Students,541D,541D,Agree,64.285714286%,9,9,64.285714286%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Street Academy,All Students,530C,530C,Neither Disagree Nor Agree,21.428571429%,3,3,21.428571429%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Street Academy,All Students,520B,520B,Disagree,7.142857143%,1,1,7.142857143%
I am happy to be at this school.,12,2015-16,A22_A34:A23,Street Academy,All Students,510A,510A,Strongly Disagree,7.142857143%,1,1,7.142857143%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Castlemont High School,All Students,551E,551E,Strongly Agree,17.834394904%,84,84,17.834394904%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Castlemont High School,All Students,541D,541D,Agree,31.847133758%,150,150,31.847133758%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Castlemont High School,All Students,530C,530C,Neither Agree Nor Disagree,25.690021231%,121,121,25.690021231%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Castlemont High School,All Students,520B,520B,Disagree,7.006369427%,33,33,7.006369427%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Castlemont High School,All Students,510A,510A,Strongly Disagree,6.157112527%,29,29,6.157112527%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Castlemont High School,All Students,,,Did not answer,11.464968153%,54,54,11.464968153%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Community Day,All Students,551E,551E,Strongly Agree,13.333333333%,2,2,13.333333333%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Community Day,All Students,541D,541D,Agree,6.666666667%,1,1,6.666666667%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Community Day,All Students,530C,530C,Neither Agree Nor Disagree,26.666666667%,4,4,26.666666667%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Community Day,All Students,510A,510A,Strongly Disagree,40%,6,6,40%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Community Day,All Students,,,Did not answer,13.333333333%,2,2,13.333333333%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Dewey Academy,All Students,551E,551E,Strongly Agree,10.778443114%,18,18,10.778443114%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Dewey Academy,All Students,541D,541D,Agree,23.952095808%,40,40,23.952095808%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Dewey Academy,All Students,530C,530C,Neither Agree Nor Disagree,49.101796407%,82,82,49.101796407%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Dewey Academy,All Students,520B,520B,Disagree,6.586826347%,11,11,6.586826347%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Dewey Academy,All Students,510A,510A,Strongly Disagree,7.185628743%,12,12,7.185628743%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Dewey Academy,All Students,,,Did not answer,2.395209581%,4,4,2.395209581%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Fremont High School,All Students,551E,551E,Strongly Agree,20.740740741%,56,56,20.740740741%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Fremont High School,All Students,541D,541D,Agree,31.851851852%,86,86,31.851851852%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Fremont High School,All Students,530C,530C,Neither Agree Nor Disagree,18.888888889%,51,51,18.888888889%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Fremont High School,All Students,520B,520B,Disagree,4.814814815%,13,13,4.814814815%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Fremont High School,All Students,510A,510A,Strongly Disagree,5.185185185%,14,14,5.185185185%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Fremont High School,All Students,,,Did not answer,18.518518519%,50,50,18.518518519%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Gateway to College,All Students,551E,551E,Strongly Agree,31.578947368%,6,6,31.578947368%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Gateway to College,All Students,541D,541D,Agree,52.631578947%,10,10,52.631578947%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Gateway to College,All Students,530C,530C,Neither Agree Nor Disagree,10.526315789%,2,2,10.526315789%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Gateway to College,All Students,,,Did not answer,5.263157895%,1,1,5.263157895%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Life Academy,All Students,551E,551E,Strongly Agree,10.077519380%,26,26,10.077519380%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Life Academy,All Students,541D,541D,Agree,29.069767442%,75,75,29.069767442%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Life Academy,All Students,530C,530C,Neither Agree Nor Disagree,39.534883721%,102,102,39.534883721%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Life Academy,All Students,520B,520B,Disagree,10.852713178%,28,28,10.852713178%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Life Academy,All Students,510A,510A,Strongly Disagree,9.302325581%,24,24,9.302325581%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Life Academy,All Students,,,Did not answer,1.162790698%,3,3,1.162790698%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Madison Park Academy 6-12,All Students,551E,551E,Strongly Agree,5.797101449%,16,16,5.797101449%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Madison Park Academy 6-12,All Students,541D,541D,Agree,20.652173913%,57,57,20.652173913%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Madison Park Academy 6-12,All Students,530C,530C,Neither Agree Nor Disagree,36.594202899%,101,101,36.594202899%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Madison Park Academy 6-12,All Students,520B,520B,Disagree,13.768115942%,38,38,13.768115942%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Madison Park Academy 6-12,All Students,510A,510A,Strongly Disagree,5.797101449%,16,16,5.797101449%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Madison Park Academy 6-12,All Students,,,Did not answer,17.391304348%,48,48,17.391304348%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,McClymonds HS,All Students,551E,551E,Strongly Agree,10.227272727%,27,27,10.227272727%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,McClymonds HS,All Students,541D,541D,Agree,31.060606061%,82,82,31.060606061%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,McClymonds HS,All Students,530C,530C,Neither Agree Nor Disagree,28.787878788%,76,76,28.787878788%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,McClymonds HS,All Students,520B,520B,Disagree,9.848484848%,26,26,9.848484848%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,McClymonds HS,All Students,510A,510A,Strongly Disagree,5.303030303%,14,14,5.303030303%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,McClymonds HS,All Students,,,Did not answer,14.772727273%,39,39,14.772727273%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,MetWest High School,All Students,551E,551E,Strongly Agree,15.294117647%,13,13,15.294117647%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,MetWest High School,All Students,541D,541D,Agree,43.529411765%,37,37,43.529411765%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,MetWest High School,All Students,530C,530C,Neither Agree Nor Disagree,28.235294118%,24,24,28.235294118%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,MetWest High School,All Students,520B,520B,Disagree,5.882352941%,5,5,5.882352941%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,MetWest High School,All Students,510A,510A,Strongly Disagree,2.352941176%,2,2,2.352941176%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,MetWest High School,All Students,,,Did not answer,4.705882353%,4,4,4.705882353%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland High School,All Students,551E,551E,Strongly Agree,12.880765883%,148,148,12.880765883%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland High School,All Students,541D,541D,Agree,32.201914708%,370,370,32.201914708%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland High School,All Students,530C,530C,Neither Agree Nor Disagree,36.379460400%,418,418,36.379460400%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland High School,All Students,520B,520B,Disagree,9.138381201%,105,105,9.138381201%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland High School,All Students,510A,510A,Strongly Disagree,5.657093124%,65,65,5.657093124%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland High School,All Students,,,Did not answer,3.742384682%,43,43,3.742384682%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland International HS,All Students,551E,551E,Strongly Agree,38.410596026%,58,58,38.410596026%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland International HS,All Students,541D,541D,Agree,38.410596026%,58,58,38.410596026%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland International HS,All Students,530C,530C,Neither Agree Nor Disagree,15.231788079%,23,23,15.231788079%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland International HS,All Students,520B,520B,Disagree,1.324503311%,2,2,1.324503311%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland International HS,All Students,510A,510A,Strongly Disagree,2.649006623%,4,4,2.649006623%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland International HS,All Students,,,Did not answer,3.973509934%,6,6,3.973509934%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland Technical High School,All Students,551E,551E,Strongly Agree,13.513513514%,195,195,13.513513514%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland Technical High School,All Students,541D,541D,Agree,39.639639640%,572,572,39.639639640%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland Technical High School,All Students,530C,530C,Neither Agree Nor Disagree,28.274428274%,408,408,28.274428274%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland Technical High School,All Students,520B,520B,Disagree,9.216909217%,133,133,9.216909217%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland Technical High School,All Students,510A,510A,Strongly Disagree,5.197505198%,75,75,5.197505198%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Oakland Technical High School,All Students,,,Did not answer,4.158004158%,60,60,4.158004158%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Ralph J Bunche High School,All Students,551E,551E,Strongly Agree,15.151515152%,10,10,15.151515152%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Ralph J Bunche High School,All Students,541D,541D,Agree,21.212121212%,14,14,21.212121212%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Ralph J Bunche High School,All Students,530C,530C,Neither Agree Nor Disagree,31.818181818%,21,21,31.818181818%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Ralph J Bunche High School,All Students,520B,520B,Disagree,10.606060606%,7,7,10.606060606%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Ralph J Bunche High School,All Students,510A,510A,Strongly Disagree,7.575757576%,5,5,7.575757576%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Ralph J Bunche High School,All Students,,,Did not answer,13.636363636%,9,9,13.636363636%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Rudsdale Continuation,All Students,551E,551E,Strongly Agree,17.213114754%,21,21,17.213114754%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Rudsdale Continuation,All Students,541D,541D,Agree,27.868852459%,34,34,27.868852459%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Rudsdale Continuation,All Students,530C,530C,Neither Agree Nor Disagree,31.967213115%,39,39,31.967213115%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Rudsdale Continuation,All Students,520B,520B,Disagree,8.196721311%,10,10,8.196721311%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Rudsdale Continuation,All Students,510A,510A,Strongly Disagree,5.737704918%,7,7,5.737704918%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Rudsdale Continuation,All Students,,,Did not answer,9.016393443%,11,11,9.016393443%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Skyline High School,All Students,551E,551E,Strongly Agree,8.136300417%,117,117,8.136300417%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Skyline High School,All Students,541D,541D,Agree,29.137691238%,419,419,29.137691238%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Skyline High School,All Students,530C,530C,Neither Agree Nor Disagree,37.899860918%,545,545,37.899860918%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Skyline High School,All Students,520B,520B,Disagree,8.762169680%,126,126,8.762169680%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Skyline High School,All Students,510A,510A,Strongly Disagree,8.553546592%,123,123,8.553546592%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Skyline High School,All Students,,,Did not answer,7.510431154%,108,108,7.510431154%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Sojourner Truth Independent Study,All Students,551E,551E,Strongly Agree,37.362637363%,34,34,37.362637363%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Sojourner Truth Independent Study,All Students,541D,541D,Agree,29.670329670%,27,27,29.670329670%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Sojourner Truth Independent Study,All Students,530C,530C,Neither Agree Nor Disagree,24.175824176%,22,22,24.175824176%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Sojourner Truth Independent Study,All Students,520B,520B,Disagree,1.098901099%,1,1,1.098901099%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Sojourner Truth Independent Study,All Students,510A,510A,Strongly Disagree,6.593406593%,6,6,6.593406593%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Sojourner Truth Independent Study,All Students,,,Did not answer,1.098901099%,1,1,1.098901099%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Street Academy,All Students,551E,551E,Strongly Agree,10%,9,9,10%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Street Academy,All Students,541D,541D,Agree,24.444444444%,22,22,24.444444444%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Street Academy,All Students,530C,530C,Neither Agree Nor Disagree,34.444444444%,31,31,34.444444444%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Street Academy,All Students,520B,520B,Disagree,11.111111111%,10,10,11.111111111%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Street Academy,All Students,510A,510A,Strongly Disagree,10%,9,9,10%
I am happy to be at this school.,12,2016-17,OAK11_OAK32:OAK24_OAK23,Street Academy,All Students,,,Did not answer,10%,9,9,10%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Bret Harte Middle School,All Students,551E,551E,Strongly Agree,37.5%,42,42,37.5%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Bret Harte Middle School,All Students,541D,541D,Agree,17.857142857%,20,20,17.857142857%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Bret Harte Middle School,All Students,530C,530C,Neither Disagree Nor Agree,7.142857143%,8,8,7.142857143%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Bret Harte Middle School,All Students,520B,520B,Disagree,3.571428571%,4,4,3.571428571%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Bret Harte Middle School,All Students,510A,510A,Strongly Disagree,8.035714286%,9,9,8.035714286%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Bret Harte Middle School,All Students,,,Did not answer,25.892857143%,29,29,25.892857143%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Castlemont High School,All Students,551E,551E,Strongly Agree,13.186813187%,72,72,13.186813187%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Castlemont High School,All Students,541D,541D,Agree,30.586080586%,167,167,30.586080586%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Castlemont High School,All Students,530C,530C,Neither Disagree Nor Agree,26.007326007%,142,142,26.007326007%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Castlemont High School,All Students,520B,520B,Disagree,8.424908425%,46,46,8.424908425%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Castlemont High School,All Students,510A,510A,Strongly Disagree,11.904761905%,65,65,11.904761905%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Castlemont High School,All Students,,,Did not answer,9.890109890%,54,54,9.890109890%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Coliseum College Prep Academy,All Students,551E,551E,Strongly Agree,8.502024291%,21,21,8.502024291%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Coliseum College Prep Academy,All Students,541D,541D,Agree,33.198380567%,82,82,33.198380567%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Coliseum College Prep Academy,All Students,530C,530C,Neither Disagree Nor Agree,34.817813765%,86,86,34.817813765%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Coliseum College Prep Academy,All Students,520B,520B,Disagree,12.955465587%,32,32,12.955465587%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Coliseum College Prep Academy,All Students,510A,510A,Strongly Disagree,9.311740891%,23,23,9.311740891%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Coliseum College Prep Academy,All Students,,,Did not answer,1.214574899%,3,3,1.214574899%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Community Day,All Students,551E,551E,Strongly Agree,7.142857143%,1,1,7.142857143%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Community Day,All Students,541D,541D,Agree,21.428571429%,3,3,21.428571429%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Community Day,All Students,530C,530C,Neither Disagree Nor Agree,28.571428571%,4,4,28.571428571%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Community Day,All Students,520B,520B,Disagree,21.428571429%,3,3,21.428571429%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Community Day,All Students,510A,510A,Strongly Disagree,14.285714286%,2,2,14.285714286%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Community Day,All Students,,,Did not answer,7.142857143%,1,1,7.142857143%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Dewey Academy,All Students,551E,551E,Strongly Agree,11.926605505%,13,13,11.926605505%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Dewey Academy,All Students,541D,541D,Agree,19.266055046%,21,21,19.266055046%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Dewey Academy,All Students,530C,530C,Neither Disagree Nor Agree,33.944954128%,37,37,33.944954128%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Dewey Academy,All Students,520B,520B,Disagree,11.926605505%,13,13,11.926605505%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Dewey Academy,All Students,510A,510A,Strongly Disagree,11.926605505%,13,13,11.926605505%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Dewey Academy,All Students,,,Did not answer,11.009174312%,12,12,11.009174312%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Fremont High School,All Students,551E,551E,Strongly Agree,13.602015113%,54,54,13.602015113%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Fremont High School,All Students,541D,541D,Agree,31.989924433%,127,127,31.989924433%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Fremont High School,All Students,530C,530C,Neither Disagree Nor Agree,28.715365239%,114,114,28.715365239%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Fremont High School,All Students,520B,520B,Disagree,7.556675063%,30,30,7.556675063%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Fremont High School,All Students,510A,510A,Strongly Disagree,7.556675063%,30,30,7.556675063%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Fremont High School,All Students,,,Did not answer,10.579345088%,42,42,10.579345088%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Gateway to College,All Students,551E,551E,Strongly Agree,35.483870968%,11,11,35.483870968%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Gateway to College,All Students,541D,541D,Agree,38.709677419%,12,12,38.709677419%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Gateway to College,All Students,530C,530C,Neither Disagree Nor Agree,19.354838710%,6,6,19.354838710%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Gateway to College,All Students,,,Did not answer,6.451612903%,2,2,6.451612903%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Life Academy,All Students,551E,551E,Strongly Agree,10.460251046%,25,25,10.460251046%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Life Academy,All Students,541D,541D,Agree,31.799163180%,76,76,31.799163180%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Life Academy,All Students,530C,530C,Neither Disagree Nor Agree,35.983263598%,86,86,35.983263598%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Life Academy,All Students,520B,520B,Disagree,12.133891213%,29,29,12.133891213%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Life Academy,All Students,510A,510A,Strongly Disagree,6.694560669%,16,16,6.694560669%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Life Academy,All Students,,,Did not answer,2.928870293%,7,7,2.928870293%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Madison Park Academy 6-12,All Students,551E,551E,Strongly Agree,6.25%,19,19,6.25%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Madison Park Academy 6-12,All Students,541D,541D,Agree,25.328947368%,77,77,25.328947368%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Madison Park Academy 6-12,All Students,530C,530C,Neither Disagree Nor Agree,36.184210526%,110,110,36.184210526%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Madison Park Academy 6-12,All Students,520B,520B,Disagree,10.197368421%,31,31,10.197368421%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Madison Park Academy 6-12,All Students,510A,510A,Strongly Disagree,8.223684211%,25,25,8.223684211%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Madison Park Academy 6-12,All Students,,,Did not answer,13.815789474%,42,42,13.815789474%
I am happy to be at this school.,12,2017-18,A22_A34:A23,McClymonds HS,All Students,551E,551E,Strongly Agree,8.715596330%,19,19,8.715596330%
I am happy to be at this school.,12,2017-18,A22_A34:A23,McClymonds HS,All Students,541D,541D,Agree,28.899082569%,63,63,28.899082569%
I am happy to be at this school.,12,2017-18,A22_A34:A23,McClymonds HS,All Students,530C,530C,Neither Disagree Nor Agree,32.110091743%,70,70,32.110091743%
I am happy to be at this school.,12,2017-18,A22_A34:A23,McClymonds HS,All Students,520B,520B,Disagree,14.220183486%,31,31,14.220183486%
I am happy to be at this school.,12,2017-18,A22_A34:A23,McClymonds HS,All Students,510A,510A,Strongly Disagree,10.550458716%,23,23,10.550458716%
I am happy to be at this school.,12,2017-18,A22_A34:A23,McClymonds HS,All Students,,,Did not answer,5.504587156%,12,12,5.504587156%
I am happy to be at this school.,12,2017-18,A22_A34:A23,MetWest High School,All Students,551E,551E,Strongly Agree,17.164179104%,23,23,17.164179104%
I am happy to be at this school.,12,2017-18,A22_A34:A23,MetWest High School,All Students,541D,541D,Agree,38.805970149%,52,52,38.805970149%
I am happy to be at this school.,12,2017-18,A22_A34:A23,MetWest High School,All Students,530C,530C,Neither Disagree Nor Agree,29.850746269%,40,40,29.850746269%
I am happy to be at this school.,12,2017-18,A22_A34:A23,MetWest High School,All Students,520B,520B,Disagree,2.985074627%,4,4,2.985074627%
I am happy to be at this school.,12,2017-18,A22_A34:A23,MetWest High School,All Students,510A,510A,Strongly Disagree,8.955223881%,12,12,8.955223881%
I am happy to be at this school.,12,2017-18,A22_A34:A23,MetWest High School,All Students,,,Did not answer,2.238805970%,3,3,2.238805970%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Oakland High School,All Students,551E,551E,Strongly Agree,9.698996656%,116,116,9.698996656%
I am happy to be at this school.,12,2017-18,A22_A34:A23,Oakland High School,All Students,541D,541D,Agree,38.712374582%,463,463,38.712374582%
